"CountyState","Sum_Plant_NetGenMW","average_month_ozone_concentration","Season","SeasonBinary","percent_white","percent_black","percent_asian","percent_housing_burden","Median_Income","percent_no_vehicle","Population","LogSum_Plant_NetGenMW"
"Lauderdale, MS",674,0.052,"Summer","1",52.5934479866925,43.4651709489834,0.742359879572731,47.1794387224794,45649,2.89251825461216,72741,2.82865989653532
"Lee, FL",10796959.002,0.035,"Summer","1",74.340602042691,8.03801775645554,1.66489412629285,53.1848664759753,69368,1.93352775672238,772902,7.03330145228125
"Lee, FL",10796959.002,0.052,"Winter","0",74.340602042691,8.03801775645554,1.66489412629285,53.1848664759753,69368,1.93352775672238,772902,7.03330145228125
"Lenoir, NC",1664,0.048,"Summer","1",51.5697917234116,40.1608832234752,0.809863630585971,39.365691631844,43063,1.82219280829473,55071,3.2211533219547
"Leon, FL",1567825,0.049,"Winter","0",57.8550835010608,30.9494505793396,3.51819615949519,53.5579865630166,61317,1.1376363100501,294128,6.19529758527711
"Leon, FL",1567825,0.031,"Summer","1",57.8550835010608,30.9494505793396,3.51819615949519,53.5579865630166,61317,1.1376363100501,294128,6.19529758527711
"Lincoln, NC",48752.008,0.058,"Summer","1",86.1610544391753,5.58948290175474,0.81766799722516,39.684449792753,75672,1.99942709825265,87933,4.68799250814451
"Loudon, TN",386984,0.05,"Summer","1",89.8823571801755,1.39261714738682,0.99086601689877,32.7773749093546,75008,1.64984213100903,55507,5.58769300932031
"Manatee, FL",6960035,0.038,"Summer","1",78.2548158461892,8.11219816870706,2.20579703704801,52.7937015623078,71385,1.77599346761023,405069,6.84261142355721
"Manatee, FL",6960035,0.048,"Winter","0",78.2548158461892,8.11219816870706,2.20579703704801,52.7937015623078,71385,1.77599346761023,405069,6.84261142355721
"Marion, FL",12152,0.049,"Summer","1",74.405975279265,12.3482054332738,1.58106946923128,44.3810829335161,55265,2.2168314021007,378225,4.08464776085473
"Marion, FL",12152,0.049,"Winter","0",74.405975279265,12.3482054332738,1.58106946923128,44.3810829335161,55265,2.2168314021007,378225,4.08464776085473
"Martin, FL",9527667.008,0.031,"Summer","1",82.8794408998802,5.41847815858318,1.54455172240729,51.9736842105263,77894,2.72465679515617,159399,6.97898657014608
"Martin, FL",9527667.008,0.052,"Winter","0",82.8794408998802,5.41847815858318,1.54455172240729,51.9736842105263,77894,2.72465679515617,159399,6.97898657014608
"Martin, NC",339794.88,0.05,"Summer","1",52.3053837759185,41.7015278283012,0.568388504910877,38.7820512820513,44799,3.19331333047578,21992,5.53121683067046
"Mecklenburg, NC",34571,0.076,"Summer","1",48.3832300971039,31.3167527790404,6.23622134779985,45.3109380153756,79265,1.09341131791555,1115403,4.53871194211691
"Mecklenburg, NC",34571,0.04,"Winter","0",48.3832300971039,31.3167527790404,6.23622134779985,45.3109380153756,79265,1.09341131791555,1115403,4.53871194211691
"Mobile, AL",15360096,0.048,"Summer","1",56.6971426362358,36.2597190476421,2.02547610648549,47.3065504281718,55352,1.56824660881551,413878,7.18639393002752
"Montgomery, NC",42481.998,0.045,"Winter","0",67.4329501915709,17.2375091915322,1.48612562405666,25.1209527353926,55523,2.43029984218832,25839,4.62820493415555
"Montgomery, NC",42481.998,0.048,"Summer","1",67.4329501915709,17.2375091915322,1.48612562405666,25.1209527353926,55523,2.43029984218832,25839,4.62820493415555
"Morgan, AL",7815396,0.06,"Summer","1",76.4049324950041,13.5099348507742,0.491462364543224,38.8243387861183,61588,2.10607449379218,123102,6.8929509882743
"Murray, GA",7926566,0.053,"Summer","1",92.6915108703792,0.466764845368545,0.808726256146569,35.8620689655172,60617,2.02570832492092,40063,6.89908508009765
"Muscogee, GA",0,0.047,"Summer","1",40.5739788436345,46.5963083902,2.5805095516493,45.3684184420029,54561,2.05369665397716,204572,-Inf
"New Hanover, NC",3927306,0.04,"Summer","1",79.0850991084187,12.1191931058062,1.31808498514031,49.7639118934019,67515,1.3373343335834,228134,6.59409474108046
"Orange, FL",10083859,0.047,"Winter","0",51.2364763139772,20.4170090717198,5.28449218615906,54.1770511650343,72629,1.31487368176841,1427403,7.00362676441912
"Orange, FL",10083859,0.057,"Summer","1",51.2364763139772,20.4170090717198,5.28449218615906,54.1770511650343,72629,1.31487368176841,1427403,7.00362676441912
"Osceola, FL",4087265.003,0.047,"Winter","0",49.6486304587995,10.9035035365528,2.74136814435739,61.945458972486,64312,1.39212298755602,393745,6.61143279665691
"Osceola, FL",4087265.003,0.042,"Summer","1",49.6486304587995,10.9035035365528,2.74136814435739,61.945458972486,64312,1.39212298755602,393745,6.61143279665691
"Palm Beach, FL",27166351,0.038,"Summer","1",61.49049541579,18.5141205709106,2.8181602282572,56.6432281662853,76066,2.37112317967958,1494805,7.43403130764898
