"County.FIPS.Code","Plant.county.name","Plant.state.abbreviation","Mean_Plant_Nameplate_CapacityMW","County","average_month_ozone_concentration","Average_Month_AQI_Value"
11,"Auglaize","OH",11.0333333333333,"Avery",0.0402258064516129,37.3225806451613
11,"Auglaize","OH",11.0333333333333,"Broward",0.0384426229508197,35.7540983606557
11,"Bureau","IL",37.9,"Avery",0.0402258064516129,37.3225806451613
11,"Bureau","IL",37.9,"Broward",0.0384426229508197,35.7540983606557
11,"Broward","FL",818.56,"Avery",0.0402258064516129,37.3225806451613
11,"Broward","FL",818.56,"Broward",0.0384426229508197,35.7540983606557
11,"Cumberland","NJ",85.8285714285714,"Avery",0.0402258064516129,37.3225806451613
11,"Cumberland","NJ",85.8285714285714,"Broward",0.0384426229508197,35.7540983606557
11,"Davis","UT",11.9,"Avery",0.0402258064516129,37.3225806451613
11,"Davis","UT",11.9,"Broward",0.0384426229508197,35.7540983606557
11,"Cayuga","NY",2.2,"Avery",0.0402258064516129,37.3225806451613
11,"Cayuga","NY",2.2,"Broward",0.0384426229508197,35.7540983606557
11,"Berks","PA",259.72,"Avery",0.0402258064516129,37.3225806451613
11,"Berks","PA",259.72,"Broward",0.0384426229508197,35.7540983606557
11,"Benton","IA",17.5,"Avery",0.0402258064516129,37.3225806451613
11,"Benton","IA",17.5,"Broward",0.0384426229508197,35.7540983606557
11,"Clark","WA",248,"Avery",0.0402258064516129,37.3225806451613
11,"Clark","WA",248,"Broward",0.0384426229508197,35.7540983606557
11,"Buffalo","WI",387,"Avery",0.0402258064516129,37.3225806451613
11,"Buffalo","WI",387,"Broward",0.0384426229508197,35.7540983606557
11,"Brookings","SD",324,"Avery",0.0402258064516129,37.3225806451613
11,"Brookings","SD",324,"Broward",0.0384426229508197,35.7540983606557
11,"Bent","CO",5.6,"Avery",0.0402258064516129,37.3225806451613
11,"Bent","CO",5.6,"Broward",0.0384426229508197,35.7540983606557
19,"Choctaw","MS",754.4,"Charleston",0.0347666666666667,32.1333333333333
19,"Charleston","SC",138.25,"Charleston",0.0347666666666667,32.1333333333333
19,"Orleans","VT",8,"Charleston",0.0347666666666667,32.1333333333333
19,"Nantucket","MA",22.4,"Charleston",0.0347666666666667,32.1333333333333
19,"Buchanan","IA",1.8,"Charleston",0.0347666666666667,32.1333333333333
19,"Clinton","NY",146,"Charleston",0.0347666666666667,32.1333333333333
19,"Champaign","IL",47.35,"Charleston",0.0347666666666667,32.1333333333333
